dwell	mieszkać,rezydować
spouse	małżonek
outrage	skandal,obraza
vague	niejasny,mętny
compell	zmusić,zniewolić
harsh	szorstki,przykry
chartered	certyfikowany
exceed	przekroczyć,wyprzedzić
peer	rówiesnik,równy
contiguous	sąsiedni,przyległy
contagious	zarażliwy
array	tablica,ustawiać
comprehensive	wyczerpujace,pełne
overstate	zawyżać,przesadzić
miscellanous	różne,rozmaite
dull	nudny
deafening	ogłuszający
hilarious	zabawny
frail	mały,wątły
frequently	często,wielokrotnie
reasonably	rozsądny,uzasadniony
rapid	szybki,gwałtowny
battered	pobity
gifted	utalentowany
assessment	ocena,oszacowanie
prevail	dominowac,zwyciezac,wymóc
dismiss	odwołać,usunąć
tumble	upadek
stumble	potknąć się
likelihood	prawdopodobienstwo
abuse	naduzycie,obelga
repulse	odrzucic,odepchnac
flavour	smak,aromat,posmak
read on	kontynuowac czytanie
deception	oszustwo
deceptive	zwodniczy
pine	sosna,tęsknic
feature	cecha
poach	kłusować,nielegalnie odbierać
notion	pojęcie,idea
creep	skradać się,pełznąć
creepy	dziwny
reinforce	wzmacniac
oversee	nadzorowac
matter of chance	kwestia przypadku
outrun	wyprzedzic
confin	ograniczac
irrevocably	bezpowrotnie
